question,domain,video_id,config,bleu,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,cfg_name
Why is orchestration important in building AI systems that do more complex tasks than just generating text or answering questions?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.02489023210579087,0.36363636363636365,0.13445378151260504,0.2975206611570248,0.008963768370449543,0.635400116443634,0.2546522915363312,top-minilm-mistral
What are some examples of modalities other than text that can be valuable for certain AI tasks?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.5728145662417075,0.8095238095238095,0.7000000000000001,0.7619047619047621,0.4620357155799866,0.8563880324363708,0.6381564736366272,top-minilm-mistral
"What does a chatbot use to pause before responding, as mentioned in the transcript?",news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.006787181501568368,0.0967741935483871,0.0,0.06451612903225806,-0.0783352255821228,0.035061467438936234,-0.020606569945812225,top-minilm-llama2
What is the purpose of using a vector database instead of storing raw data like text files and images?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.48406863479643436,0.7368421052631579,0.6486486486486486,0.631578947368421,0.40307146310806274,0.8521324396133423,0.5994834899902344,top-minilm-llama2
How does the embedding model convert images into vectors in a vector database?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.18671758719288928,0.5294117647058824,0.36363636363636365,0.4411764705882353,0.29197952151298523,0.6495364904403687,0.4521886706352234,top-minilm-llama2
What is the purpose of the RAG system in relation to employee handbooks?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.007711727065811939,0.16666666666666666,0.0,0.1,-0.024337682873010635,0.10098171979188919,0.038636766374111176,top-minilm-llama2
When was the idea of Mixture of Experts (MOE) first published in a scientific journal?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.007711727065811939,0.18867924528301885,0.0,0.1509433962264151,-0.15109485387802124,0.03639395162463188,-0.061780016869306564,top-minilm-llama2
What does MCP standardize for large language models and why is it considered exciting?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.12049679878685403,0.5299145299145299,0.19130434782608693,0.3076923076923077,0.3341449201107025,0.5831572413444519,0.4507008194923401,top-minilm-llama2
What is the current status of ASI (Artificial Superintelligence) as per the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.03044745084707003,0.3389830508474576,0.21052631578947367,0.20338983050847456,-0.015508401207625866,0.6051051616668701,0.22729402780532837,top-minilm-llama2
What is AGI (Artificial General Intelligence) according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.18304750450841512,0.42424242424242425,0.3092783505154639,0.40404040404040403,0.055615682154893875,0.7286538481712341,0.3173697888851166,top-minilm-llama2
How does MoE models like IBM Granite's 4.0 series work according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.006132910803680854,0.06666666666666667,0.0,0.06666666666666667,-0.14058524370193481,-0.03055407665669918,-0.08429180085659027,top-minilm-llama2
What kind of information are base models usually trained on?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.5956403592718089,0.7499999999999999,0.7272727272727273,0.7499999999999999,0.15080539882183075,0.8835095167160034,0.43481168150901794,top-minilm-llama2
Why is orchestration important in building AI systems that do more complex tasks than just generating text or answering questions?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.034676284708333095,0.42857142857142866,0.1875,0.346938775510204,0.15715236961841583,0.6287031173706055,0.3574717938899994,top-minilm-llama2
What are some examples of modalities other than text that can be valuable for certain AI tasks?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=llama2)",0.006787181501568368,0.11111111111111113,0.0,0.03703703703703704,-0.10733344405889511,-0.017717087641358376,-0.06025819480419159,top-minilm-llama2
"What does a chatbot use to pause before responding, as mentioned in the transcript?",news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.006787181501568368,0.0967741935483871,0.0,0.06451612903225806,-0.0783352255821228,0.035061467438936234,-0.020606569945812225,top-mpnet-mistral
What is the purpose of using a vector database instead of storing raw data like text files and images?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.48406863479643436,0.7368421052631579,0.6486486486486486,0.631578947368421,0.42854487895965576,0.8539405465126038,0.6163185834884644,top-mpnet-mistral
How does the embedding model convert images into vectors in a vector database?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.06638811925261584,0.41304347826086957,0.2222222222222222,0.32608695652173914,0.06558414548635483,0.4842863976955414,0.24534279108047485,top-mpnet-mistral
What is the purpose of the RAG system in relation to employee handbooks?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.12174947256163497,0.3902439024390244,0.25000000000000006,0.36585365853658536,-0.061210159212350845,0.4325679540634155,0.14054003357887268,top-mpnet-mistral
When was the idea of Mixture of Experts (MOE) first published in a scientific journal?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.878187983790713,0.9411764705882353,0.9375,0.9411764705882353,0.7309739589691162,0.9757047891616821,0.8461580276489258,top-mpnet-mistral
What does MCP standardize for large language models and why is it considered exciting?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.11896425151370853,0.4962406015037593,0.19847328244274812,0.30075187969924805,0.33324670791625977,0.621842622756958,0.4662146270275116,top-mpnet-mistral
What is the current status of ASI (Artificial Superintelligence) as per the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.16851733356647097,0.5106382978723404,0.26666666666666666,0.4680851063829787,0.03473477065563202,0.6227371096611023,0.26982197165489197,top-mpnet-mistral
What is AGI (Artificial General Intelligence) according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.23651943830538086,0.4590163934426229,0.33898305084745767,0.4590163934426229,0.1980159878730774,0.6042807698249817,0.37557709217071533,top-mpnet-mistral
How does MoE models like IBM Granite's 4.0 series work according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.006639671070426987,0.22222222222222218,0.056603773584905655,0.16666666666666666,0.008737610653042793,0.33227893710136414,0.1527860164642334,top-mpnet-mistral
What kind of information are base models usually trained on?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.4141238765665521,0.6923076923076924,0.6666666666666666,0.6923076923076924,0.14824450016021729,0.8510997295379639,0.42325666546821594,top-mpnet-mistral
Why is orchestration important in building AI systems that do more complex tasks than just generating text or answering questions?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.02939776033601221,0.4,0.16666666666666669,0.34545454545454546,0.11921672523021698,0.6932061910629272,0.35296881198883057,top-mpnet-mistral
What are some examples of modalities other than text that can be valuable for certain AI tasks?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=mpnet, chunk=fixed-500, rerank=True, llm=mistral)",0.21420126246974033,0.5652173913043479,0.3181818181818182,0.4782608695652174,0.18932241201400757,0.5689490437507629,0.35682716965675354,top-mpnet-mistral
"What does a chatbot use to pause before responding, as mentioned in the transcript?",news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.24883108274644028,0.48,0.2916666666666667,0.48,0.23078887164592743,0.49637266993522644,0.35385727882385254,top-e5-mistral
What is the purpose of using a vector database instead of storing raw data like text files and images?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.46106403392076034,0.7368421052631579,0.6486486486486486,0.631578947368421,0.4054935872554779,0.855888843536377,0.6024385094642639,top-e5-mistral
How does the embedding model convert images into vectors in a vector database?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.13359622587268324,0.39024390243902435,0.25,0.3414634146341463,0.18289019167423248,0.4983433187007904,0.32566526532173157,top-e5-mistral
What is the purpose of the RAG system in relation to employee handbooks?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.3061376479939303,0.6250000000000001,0.43478260869565216,0.5833333333333334,0.2222144901752472,0.5645854473114014,0.3758564293384552,top-e5-mistral
When was the idea of Mixture of Experts (MOE) first published in a scientific journal?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.878187983790713,0.9411764705882353,0.9375,0.9411764705882353,0.7309739589691162,0.9757047891616821,0.8461580276489258,top-e5-mistral
What does MCP standardize for large language models and why is it considered exciting?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.16961255291049424,0.592,0.2764227642276422,0.368,0.3150864839553833,0.6710526943206787,0.4748871326446533,top-e5-mistral
What is the current status of ASI (Artificial Superintelligence) as per the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.031181651210210208,0.3389830508474576,0.21052631578947367,0.20338983050847456,-0.01734789088368416,0.6040287613868713,0.22559358179569244,top-e5-mistral
What is AGI (Artificial General Intelligence) according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.24172077565040992,0.4590163934426229,0.33898305084745767,0.4590163934426229,0.2044508010149002,0.6124063730239868,0.38273385167121887,top-e5-mistral
How does MoE models like IBM Granite's 4.0 series work according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.0030364367958401876,0.19199999999999998,0.032520325203252036,0.16,-0.07360997051000595,0.23469413816928864,0.06361935287714005,top-e5-mistral
What kind of information are base models usually trained on?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.5956403592718089,0.7499999999999999,0.7272727272727273,0.7499999999999999,0.15080539882183075,0.8835095167160034,0.43481168150901794,top-e5-mistral
Why is orchestration important in building AI systems that do more complex tasks than just generating text or answering questions?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.0202420713136015,0.3108108108108108,0.136986301369863,0.25675675675675674,0.00295201875269413,0.5907177329063416,0.2366611808538437,top-e5-mistral
What are some examples of modalities other than text that can be valuable for certain AI tasks?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=e5, chunk=fixed-500, rerank=True, llm=mistral)",0.41647525275434744,0.7555555555555554,0.5581395348837209,0.6666666666666667,0.4352920949459076,0.8326769471168518,0.6123470067977905,top-e5-mistral
"What does a chatbot use to pause before responding, as mentioned in the transcript?",news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.006787181501568368,0.0967741935483871,0.0,0.06451612903225806,-0.0783352255821228,0.035061467438936234,-0.020606569945812225,sentence-mistral
What is the purpose of using a vector database instead of storing raw data like text files and images?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.46106403392076034,0.7368421052631579,0.6486486486486486,0.631578947368421,0.3993891775608063,0.8561955094337463,0.5986469984054565,sentence-mistral
How does the embedding model convert images into vectors in a vector database?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.17412164273266495,0.5070422535211268,0.3478260869565218,0.4225352112676057,0.2706381678581238,0.6537664532661438,0.4404715299606323,sentence-mistral
What is the purpose of the RAG system in relation to employee handbooks?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.007711727065811939,0.16666666666666666,0.0,0.1,-0.024337682873010635,0.10098171979188919,0.038636766374111176,sentence-mistral
When was the idea of Mixture of Experts (MOE) first published in a scientific journal?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.007711727065811939,0.18867924528301885,0.0,0.1509433962264151,-0.15109485387802124,0.03639395162463188,-0.061780016869306564,sentence-mistral
What does MCP standardize for large language models and why is it considered exciting?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.14499105711610735,0.46774193548387094,0.2295081967213115,0.3225806451612903,0.33814099431037903,0.5952847599983215,0.45811569690704346,sentence-mistral
What is the current status of ASI (Artificial Superintelligence) as per the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.03044745084707003,0.3389830508474576,0.21052631578947367,0.20338983050847456,-0.014660649001598358,0.6042855978012085,0.22768595814704895,sentence-mistral
What is AGI (Artificial General Intelligence) according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.2485364833746714,0.5,0.3448275862068966,0.4666666666666667,0.20078133046627045,0.6252428889274597,0.38507720828056335,sentence-mistral
How does MoE models like IBM Granite's 4.0 series work according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.006132910803680854,0.06666666666666667,0.0,0.06666666666666667,-0.14058524370193481,-0.03055407665669918,-0.08429180085659027,sentence-mistral
What kind of information are base models usually trained on?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.4141238765665521,0.6923076923076924,0.6666666666666666,0.6923076923076924,0.07186782360076904,0.8487922549247742,0.36421623826026917,sentence-mistral
Why is orchestration important in building AI systems that do more complex tasks than just generating text or answering questions?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.0616849220672566,0.22988505747126436,0.13953488372093023,0.21839080459770116,-0.08366479724645615,0.5294057130813599,0.15353338420391083,sentence-mistral
What are some examples of modalities other than text that can be valuable for certain AI tasks?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=sentence-500, rerank=True, llm=mistral)",0.23826543049408017,0.6153846153846154,0.4,0.34615384615384615,0.2213941216468811,0.6882690787315369,0.42138341069221497,sentence-mistral
"What does a chatbot use to pause before responding, as mentioned in the transcript?",news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.006787181501568368,0.0967741935483871,0.0,0.06451612903225806,-0.0783352255821228,0.035061467438936234,-0.020606569945812225,no-rerank-mistral
What is the purpose of using a vector database instead of storing raw data like text files and images?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.48406863479643436,0.7368421052631579,0.6486486486486486,0.631578947368421,0.4114273488521576,0.8521457314491272,0.6048108339309692,no-rerank-mistral
How does the embedding model convert images into vectors in a vector database?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.05438497632520132,0.4166666666666667,0.1702127659574468,0.29166666666666663,0.08661459386348724,0.5361646413803101,0.2776780426502228,no-rerank-mistral
What is the purpose of the RAG system in relation to employee handbooks?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.007711727065811939,0.16666666666666666,0.0,0.1,-0.024337682873010635,0.10098171979188919,0.038636766374111176,no-rerank-mistral
When was the idea of Mixture of Experts (MOE) first published in a scientific journal?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.007711727065811939,0.18867924528301885,0.0,0.1509433962264151,-0.15109485387802124,0.03639395162463188,-0.061780016869306564,no-rerank-mistral
What does MCP standardize for large language models and why is it considered exciting?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.22092747917537378,0.5825242718446603,0.297029702970297,0.36893203883495146,0.34220147132873535,0.5630190968513489,0.4468129873275757,no-rerank-mistral
What is the current status of ASI (Artificial Superintelligence) as per the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.018330256089173443,0.4230769230769231,0.12000000000000001,0.30769230769230765,0.023037245497107506,0.4775352478027344,0.21428680419921875,no-rerank-mistral
What is AGI (Artificial General Intelligence) according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.23989822204325809,0.5901639344262294,0.4067796610169491,0.5573770491803278,0.23809969425201416,0.657744288444519,0.4212116003036499,no-rerank-mistral
How does MoE models like IBM Granite's 4.0 series work according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.006132910803680854,0.06666666666666667,0.0,0.06666666666666667,-0.14058524370193481,-0.03055407665669918,-0.08429180085659027,no-rerank-mistral
What kind of information are base models usually trained on?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.4141238765665521,0.6923076923076924,0.6666666666666666,0.6923076923076924,0.0756361335515976,0.8543429970741272,0.3687055706977844,no-rerank-mistral
Why is orchestration important in building AI systems that do more complex tasks than just generating text or answering questions?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.021509689703617805,0.36974789915966383,0.13675213675213677,0.319327731092437,0.10759001970291138,0.6191160678863525,0.32040300965309143,no-rerank-mistral
What are some examples of modalities other than text that can be valuable for certain AI tasks?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=False, llm=mistral)",0.21420126246974033,0.5652173913043479,0.3181818181818182,0.4782608695652174,0.1452094465494156,0.5510216355323792,0.32177481055259705,no-rerank-mistral
